endTime,artistName,trackName,timePlayed
2024-06-06 10:35:00,Rogue,Let's Talk,10602
2024-06-06 10:36:00,King Serenity,All for U (Ameyatchi),13653
2024-06-06 10:38:00,Jungeli,Petit génie,122069
2024-06-06 10:39:00,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),77525
2024-06-06 11:51:00,Aya Nakamura,Copines,84480
2024-06-06 11:59:00,Richy Mitch & The Coal Miners,Evergreen,87000
2024-06-06 13:22:00,Timaya,Cold Outside,3818
2024-06-06 13:27:00,CKay,emiliana,166642
2024-06-06 13:34:00,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369
2024-06-06 13:36:00,Tyler Shaw,Love You Still (abcdefu romantic version),150173
2024-06-06 13:38:00,CKay,love nwantiti (feat. ElGrande Toto) - North African Remix,135480
2024-06-06 13:46:00,JVKE,this is what winter feels like,194782
2024-06-06 13:56:00,Pheelz,Finesse,155293
2024-06-06 13:59:00,Kizz Daniel,Nesesari,178000
2024-06-06 17:42:00,Fireboy DML,Bandana,6624
2024-06-06 20:34:00,JVKE,golden hour,0
2024-06-06 20:42:00,Clean Bandit,Symphony (feat. Zara Larsson),8768
2024-06-06 20:42:00,Benson Boone,Beautiful Things,1258
2024-06-06 20:42:00,Crazy Frog,Popcorn,159473
2024-06-06 21:08:00,PSY,Gangnam Style (강남스타일),1553
2024-06-06 21:13:00,Nathan Evans,Wellerman - Sea Shanty,156160
2024-06-06 21:16:00,Taron Egerton,A Sky Full of Stars,206437
2024-06-06 21:19:00,Nathan Dawe,21 Reasons (feat. Ella Henderson),155253
2024-06-06 21:22:00,Daddy Yankee,Gasolina,192600
2024-06-06 21:28:00,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,169153
2024-06-06 21:33:00,Fly Project,Toca Toca,165605
2024-06-06 21:37:00,Carly Rae Jepsen,Call Me Maybe,193400
2024-06-06 21:56:00,American Authors,Best Day Of My Life,194240
2024-06-06 22:00:00,Bob Sinclar,Rock This Party (Everybody Dance Now),245466
2024-06-07 04:48:00,Lil Nas X,THATS WHAT I WANT,118314
2024-06-07 04:58:00,Lil Nas X,MONTERO (Call Me By Your Name),110964
2024-06-07 04:59:00,Alec Benjamin,Let Me Down Slowly,43328
2024-06-07 10:14:00,Rednex,Cotton Eye Joe,37230
2024-06-07 10:17:00,Olamide,Trumpet,188656
2024-06-07 10:20:00,Wande Coal,Again,156083
2024-06-07 10:22:00,Chop Daily,Yanna,133458
2024-06-07 10:25:00,Burna Boy,For My Hand (feat. Ed Sheeran),159123
2024-06-07 10:29:00,Midas the Jagaban,Party With A Jagaban,9307
2024-06-07 10:32:00,Ice Prince,Shakara,200869
2024-06-07 10:36:00,Stromae,Bonne journée,166186
2024-06-07 10:37:00,Tom Odell,Another Love,32106
2024-06-07 13:35:00,Kanye West,Amazing,5375
2024-06-07 15:21:00,The Chainsmokers,Something Just Like This,247160
2024-06-07 22:48:00,Stromae,humain à l'eau,209813
2024-06-08 12:43:00,Emei,Scatterbrain,906
2024-06-09 02:44:00,Gilbert Montagné,Les sunlights des tropiques,17066
2024-06-09 02:44:00,Soprano,Roule,238893
2024-06-09 02:47:00,L.A.X,Sempe,171428
2024-06-09 02:52:00,Rema,Calm Down (with Selena Gomez),1728
2024-06-09 02:52:00,Mavins,Overloading (OVERDOSE),205000
2024-06-09 02:56:00,Afro B,Drogba (Joanna),199000
2024-06-09 03:02:00,Kizz Daniel,Shu-Peru,139377
2024-06-09 03:05:00,Ayra Starr,Commas,157200
2024-06-09 03:08:00,Omah Lay,understand,174545
2024-06-09 03:14:00,Davido,UNAVAILABLE (feat. Musa Keys),169911
2024-06-09 03:17:00,FAVE,Beautifully,169844
2024-06-09 03:29:00,Tyla,Water,200255
2024-06-09 03:35:00,JZyNo,Butta My Bread,143587
2024-06-09 03:42:00,JVKE,this is what autumn feels like,219909
2024-06-10 11:06:00,JVKE,this is what space feels like,9682
2024-06-10 11:07:00,Ed Sheeran,Shape of You,18854
2024-06-10 11:07:00,David Kushner,Daylight,10332
2024-06-10 17:04:00,Smaven,Mafana,57492
2024-06-10 22:08:00,Victor Thompson,THIS YEAR (Blessings),10624
2024-06-10 22:21:00,David Guetta,2U (feat. Justin Bieber),194896
2024-06-10 22:29:00,Pheelz,Finesse - feat. French Montana,0
2024-06-11 06:30:00,Tayc,N'y pense plus,1227
2024-06-11 06:30:00,1da Banton,No Wahala,1460
2024-06-11 06:30:00,Libianca,People (feat. Ayra Starr & Omah Lay),5790
2024-06-11 06:31:00,Ruger,Asiwaju,567
2024-06-11 06:32:00,Ed Sheeran,Happier,14272
2024-06-11 06:34:00,Tems,Love Me JeJe,4201
2024-06-12 07:16:00,Carbonne,Imagine,165775
2024-06-12 07:18:00,Creeds,Push Up - Main Edit,139300
2024-06-12 07:22:00,CYRIL,Stumblin' In,213363
2024-06-12 07:32:00,Tam Sir,Coup du marteau,174589
2024-06-12 07:41:00,WALK THE MOON,Shut Up and Dance,199080
2024-06-12 07:45:00,Vicetone,Astronomia,198095
2024-06-12 07:50:00,Trinix Remix,Hits 2021,162650
2024-06-12 07:58:00,Tesher,Jalebi Baby (Tesher x Jason Derulo),169154
2024-06-13 10:15:00,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
2024-06-13 10:28:00,Ryan Mack,Overwhelmed (Ryan Mack Remix),103240
2024-06-13 10:36:00,Alok,Deep Down (feat. Never Dull),165752
2024-06-13 13:09:00,Matt Sassari,Give It To Me - Full Vocal Mix,102860
2024-06-14 14:43:00,Wiz Khalifa,See You Again (feat. Charlie Puth),229525
2024-06-14 14:53:00,The Chainsmokers,The One,177573
2024-06-14 14:56:00,Major Lazer,Lean On (feat. MØ & DJ Snake),176561
2024-06-14 15:00:00,The Chainsmokers,Who Do You Love,226733
2024-06-15 00:16:00,Benson Boone,Slow It Down,161831
2024-06-15 00:22:00,JVKE,lavender (feat. Pink Sweat$),157241
2024-06-15 00:25:00,Benson Boone,In The Stars,216410
2024-06-15 00:30:00,Conan Gray,People Watching,158536
2024-06-15 00:44:00,Martin Garrix,Hero,160714
2024-06-15 00:50:00,Ruth B.,Dandelions,233720
2024-06-15 00:54:00,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
2024-06-15 00:56:00,JVKE,clouds,162615
2024-06-15 00:59:00,MAX,STRINGS (feat. JVKE & Bazzi),153461
2024-06-15 07:00:00,JVKE,this is what heartbreak feels like,118073
2024-06-17 07:22:00,Linkin Park,Faint,162106
2024-06-17 07:27:00,Avenged Sevenfold,Fiction,314720
2024-06-22 22:44:00,Vitaa,Avant toi,223800
2024-06-22 23:01:00,Dave,Location (feat. Burna Boy),241293
2024-06-22 23:05:00,Dave,Meridian,255160
2024-06-22 23:08:00,Kizz Daniel,Buga (Lo Lo Lo),183103
2024-06-22 23:28:00,Camidoh,Sugarcane,156781
2024-06-22 23:34:00,Victony,Soweto,148000
2024-06-22 23:37:00,Omah Lay,reason,147363
2024-06-22 23:44:00,Bayanni,Ta Ta Ta,159425
2024-06-22 23:47:00,Fireboy DML,Peru,187111
2024-06-22 23:53:00,Babyboy AV,Confession,188629
2024-06-23 00:02:00,Olamide,Infinity (feat. Omah Lay),171764
2024-06-23 00:04:00,Kizz Daniel,Lie,156600
2024-06-23 00:10:00,Ayra Starr,Rush,185093
2024-06-23 00:38:00,Kizz Daniel,Twe Twe,143111
2024-06-23 00:40:00,KiDi,Mon Bebe,151663
2024-06-23 00:43:00,Aya Nakamura,Djadja,171133
2024-06-23 00:47:00,Wande Coal,Iskaba,224640
2024-06-23 00:53:00,Tyla,Jump,147071
2024-06-23 00:56:00,Fireboy DML,yawa,180000
2024-06-23 01:01:00,Kizz Daniel,Cough (Odo),176195
2024-06-23 02:07:00,Kizz Daniel,Boys Are Bad,137000
2024-06-23 02:12:00,Fireboy DML,everyday,166350
2024-06-23 02:15:00,melvitto,Close To Me (feat. Krisirie & Gabzy),170486
2024-06-23 02:34:00,Fireboy DML,King,165040
2024-06-23 02:44:00,Kizz Daniel,We Wan Comot,124868
2024-06-23 02:49:00,Soundz,Pressure,148571
2024-06-23 03:09:00,Craig Isto,Cant Get Enough,122400
2024-06-23 03:12:00,Kid AlpHa,Colours,184077
2024-06-23 03:30:00,Sarz,Happiness (feat. Asake & Gunna),174743
2024-06-23 03:32:00,Gabzy,Jambazz,139573
2024-06-23 03:42:00,Kizz Daniel,Oshe (feat. The Cavemen.),158399
2024-06-23 03:59:00,Central Cee,Doja,97392
2024-06-23 04:26:00,Fireboy DML,Feel,194400
2024-06-23 04:41:00,Libianca,People,184791
2024-06-23 04:46:00,Kizz Daniel,Pour Me Water,146399
2024-06-23 05:08:00,Kizz Daniel,Showa,175636
2024-06-23 05:28:00,Kizz Daniel,My G,160770
2024-06-23 05:37:00,Ayra Starr,Sability,166558
2024-06-23 05:40:00,Fireboy DML,Lifestyle,152941
2024-06-23 05:42:00,melvitto,Usual,167638
2024-06-23 05:46:00,Burna Boy,On the Low,185898
2024-06-24 10:21:00,Aya Nakamura,42,119530
2024-06-25 06:36:00,Imagine Dragons,Nice to Meet You,29582
2024-06-25 06:43:00,TitoM,Tshwala Bam (feat. S.N.E),203571
2024-06-26 18:03:00,Justin Wellington,Iko Iko (My Bestie),182857
2024-06-26 18:03:00,Rogue,Fortress,5422
2024-06-27 15:17:00,Aya Nakamura,Jolie nana,147076
2024-06-27 15:34:00,Gazo,DIE,240413
2024-06-27 19:50:00,DJ Tons,Always Remember Us This Way,234000
2024-06-27 20:51:00,Orelsan,La pluie (feat. Stromae),175346
2024-06-27 20:55:00,Stromae,Papaoutai,232146
2024-06-27 21:12:00,Stromae,Fils de joie,195440
2024-06-27 22:23:00,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),251173
2024-06-29 09:22:00,Jason Derulo,Acapulco,139672
2024-06-29 14:48:00,Lojay,Tonongo,4976
2024-06-29 21:43:00,Alan Walker,"Fire! (feat. YUQI ((G)I-DLE), JVKE)",123624
2024-06-29 22:12:00,Aya Nakamura,Doggy,132676
2024-06-29 22:15:00,Corneille,Avec classe (feat. Aya Nakamura & Trinix),186071
2024-06-29 22:18:00,Ayo Maff,Dealer,180594
2024-06-29 22:21:00,GIMS,SPIDER,188818
2024-06-29 22:25:00,Soprano,Facile à danser,193866
2024-06-29 22:29:00,Dadju,I love you,237866
2024-06-29 22:31:00,Aya Nakamura,Hypé (feat. Ayra Starr),157402
2024-06-29 22:39:00,KeBlack,Aucune attache,161977
2024-06-29 22:48:00,GIMS,LOCO,161354
2024-06-30 07:10:00,Jungeli,T’étais où ?,25826
2024-06-30 07:45:00,Rvssian,Santa,162333
2024-06-30 20:53:00,Orelsan,Tout va bien,149053
2024-06-30 21:03:00,OBOY,TDB,154280
2024-06-30 21:06:00,Vincent Lagaf',Bo le lavabo,194875
2024-06-30 21:21:00,Soprano,Cosmo,183906
2024-06-30 21:24:00,Wejdene,Anissa,175752
2024-06-30 21:36:00,Vitaa,Game Over,196666
2024-06-30 22:06:00,ZEG P,FADE UP,219187
2024-06-30 22:10:00,Soprano,Le coach (feat. Vincenzo),200186
2024-06-30 22:20:00,Ed Sheeran,Shivers,207853
2024-06-30 22:24:00,The Chainsmokers,Closer,244960
2024-06-30 22:38:00,Zara Larsson,Lush Life,201122
2024-06-30 23:09:00,Lukas Graham,7 Years,237300
2024-07-01 00:20:00,Imagine Dragons,Demons,177506
2024-07-01 07:33:00,Aya Nakamura,Pookie,175317
2024-07-01 07:34:00,Hatik,Angela,62357
2024-07-01 07:40:00,GIMS,Sapés comme jamais (feat. Niska) - Pilule bleue,206786
2024-07-01 09:57:00,Dadju,Dieu merci,211648
2024-07-01 10:48:00,Lucenzo,Mambella,171500
2024-07-01 11:00:00,Omah Lay,i'm a mess,153946
2024-07-01 12:22:00,Tayc,Le temps,197240
2024-07-01 12:51:00,CG5,Lyin' 2 Me,241042
2024-07-01 12:54:00,CG5,Show Yourself,204769
2024-07-01 13:01:00,Leonz,Among Us (Trap Remix),35498
2024-07-01 14:25:00,Elley Duhé,MIDDLE OF THE NIGHT,77658
2024-07-01 22:14:00,Franglish,Position,2240
2024-07-01 23:10:00,Major Lazer,Que Calor,169997
2024-07-01 23:38:00,Rotimi,Love Somebody,166699
2024-07-02 00:10:00,Bracket,Mama Africa,201827
2024-07-02 00:28:00,Tayc,D O D O,179240
2024-07-02 01:52:00,Ruger,Girlfriend,196800
2024-07-02 02:01:00,melvitto,Stay (feat. Gabzy),247299
2024-07-02 02:04:00,Rema,Dumebi,179775
2024-07-02 02:10:00,Teni,Case,202448
2024-07-02 02:15:00,Blaiz Fayah,Best Gyal,127612
2024-07-02 02:19:00,Driks,TT,192000
2024-07-02 08:08:00,Davido,Fall,163952
2024-07-03 04:11:00,Jahyanai,Dweet So,184342
2024-07-03 04:39:00,melvitto,Trouble,223517
2024-07-03 05:02:00,Chop Daily,Down,158000
2024-07-03 10:27:00,Burna Boy,Collateral Damage,197558
2024-07-03 22:14:00,Burna Boy,Higher,137631
2024-07-05 01:36:00,X-Man,Pineco,120006
2024-07-05 23:15:00,Forrest Frank,GOOD DAY,534
2024-07-05 23:15:00,Forrest Frank,NEVER GET USED TO THIS,145034
2024-07-05 23:39:00,Ross-Emanuel Steven Bayeto,"Safety 2020 (feat. Chris Brown, Afro B & DJ Snake)",195322
2024-07-06 00:27:00,Sam Feldt,Mi Amor (with JVKE & Anitta),139428
2024-07-06 00:44:00,Noah Cyrus,July,156106
2024-07-06 00:51:00,Zach Bryan,Something in the Orange,228013
2024-07-06 00:58:00,Olivia Rodrigo,vampire,219724
2024-07-06 01:27:00,Benson Boone,Ghost Town,193733
2024-07-06 01:40:00,benny blanco,Eastside (with Halsey & Khalid),170769
2024-07-06 02:07:00,Ryan Mack,Forever and Ever and Always,140038
2024-07-06 02:22:00,Benson Boone,NIGHTS LIKE THESE,172514
2024-07-06 02:43:00,Benson Boone,Before You,187940
2024-07-06 02:46:00,Tate McRae,exes,159400
2024-07-06 02:56:00,Benson Boone,ROOM FOR 2,151500
2024-07-06 03:25:00,Lewis Capaldi,Forget Me,203666
2024-07-06 03:33:00,Sabrina Carpenter,Espresso,175459
2024-07-06 03:48:00,5 Seconds of Summer,Youngblood,203417
2024-07-06 03:55:00,GRAHAM,See You Later,111136
2024-07-06 04:33:00,Lauren Spencer Smith,Flowers,157863
2024-07-06 04:35:00,GRAHAM,Thinking About You,132000
2024-07-06 04:41:00,Benson Boone,Cry,186359
2024-07-06 05:46:00,Sabrina Carpenter,Nonsense,163648
2024-07-06 07:57:00,Caleb Hearn,Little Bit Better,371614
2024-07-06 08:01:00,Benson Boone,Coffee Cake,186540
2024-07-06 08:12:00,Djo,End of Beginning,159245
2024-07-06 20:37:00,Luciano,Another Vibe (feat. Omah Lay),96070
2024-07-08 05:03:00,smle,Found A Reason,580
2024-07-08 06:11:00,Lost Frequencies,Where Are You Now,0
2024-07-09 17:47:00,OVSKY,Start Again,108816
2024-07-09 20:06:00,vaultboy,rocket science,7008
2024-07-09 20:11:00,Ryan Mack,Only Human,177329
2024-07-09 20:26:00,Throttle,Cities,156744
2024-07-10 00:17:00,NF,The Search,145217
2024-07-10 00:20:00,Steve Lacy,Static,156506
2024-07-12 21:51:00,James Clarke,Relaxed Scene,97024
2024-07-14 11:49:00,Sheet Music Boss,Rush E,17962
2024-07-15 19:06:00,Eric Carmen The Non Binary Sandman,BaBABOOEY 2,54581
2024-07-17 14:21:00,Strings And Heart,if i don't got you,148016
2024-07-18 20:14:00,LDRR,Mangos - Tiktok Version,51853
2024-07-21 17:51:00,GIMS,SOIS PAS TIMIDE,1131
2024-07-22 01:06:00,Forrest Frank,NEVER GET USED TO THIS (with JVKE),145034
2024-07-22 02:00:00,sammy rash,smile more,95108
2024-07-22 02:23:00,J.Tajor,Like I Do,149142
2024-07-22 02:47:00,Pink Sweat$,Run Through Fire,184534
2024-07-22 03:22:00,Devin Kennedy,Poetry,144750
2024-07-22 03:47:00,Tom Frane,Never Let This Go,133846
2024-07-22 04:25:00,Tom Frane,Unstable,157349
2024-07-22 04:49:00,J.Tajor,Like I Do (with sunkis),149714
2024-07-22 05:03:00,Chris James,12 Hours,133125
2024-07-22 05:31:00,Tom Frane,Don't Leave,181800
2024-07-22 05:51:00,JVKE,this is what losing someone feels like,172325
2024-07-22 06:13:00,vaultboy,"everything, everywhere (feat. eaJ)",190108
2024-07-27 22:12:00,NEFFEX,Losing My Mind,180000
2024-07-28 14:38:00,Alec Benjamin,Different Kind Of Beautiful,201007
2024-07-28 20:14:00,TheFatRat,Unity,14314
2024-08-01 12:17:00,Vindata,Good 4 Me,25791
2024-08-01 17:29:00,Throttle,Japan,76800
2024-08-02 01:03:00,Hollywood Principle,Solar Eclipses,209158
2024-08-02 01:28:00,Connor Price,Spinnin,85786
2024-08-02 20:36:00,AdhesiveWombat,8 Bit Adventure,682
2024-08-02 20:47:00,Porter Robinson,Shelter,9432
2024-08-03 22:44:00,Throttle,For Me,90611
2024-08-04 06:29:00,Throttle,Bloom,131780
2024-08-04 07:34:00,SPINALL,One Call,158712
2024-08-04 23:57:00,Olamide,Uptown Disco,239865
2024-08-05 00:23:00,Conro,Therapy,2321
2024-08-05 00:23:00,AL3JANDRO,So Good,127245
2024-08-05 00:43:00,Hoaprox,Saviour,172005
2024-08-05 00:47:00,Athena,Eternal,213677
2024-08-05 00:51:00,Conro,just wanna luv,257280
2024-08-05 00:57:00,Zero Hero,Twilight,204000
2024-08-05 01:01:00,ellis,The Taste,182000
2024-08-05 01:09:00,Glacier,Still,184877
2024-08-05 01:13:00,Grant,Color,213818
2024-08-05 01:22:00,Stonebank,What Are You Waiting For - VIP,299130
2024-08-05 01:25:00,Hollywood Principle,Firework,187375
2024-08-05 01:30:00,Hollywood Principle,Breathing Underwater - Ether Remix,277750
2024-08-06 07:15:00,Fireboy DML,Peru - Remix,3626
2024-08-07 02:40:00,Hoaprox,New World,204705
2024-08-07 05:50:00,Adekunle Gold,Party No Dey Stop (with Zinoleesky),168857
2024-08-07 22:48:00,Dyro,Memory Bank,159788
2024-08-07 23:04:00,Vicetone,Nevada,208561
2024-08-07 23:07:00,Grant,Move On,182250
2024-08-07 23:10:00,Athena,Moment,162525
2024-08-07 23:19:00,Hollywood Principle,Spell (Radio Edit) - Sando Remix,213620
2024-08-07 23:23:00,Rob Gasser,Vertigo,227852
2024-08-07 23:27:00,Grant,Weapon,224283
2024-08-07 23:29:00,Stephen Walking,Glide,118368
2024-08-07 23:34:00,Hollywood Principle,Seeing What's Next,144637
2024-08-07 23:47:00,Rogue,Dreams,256347
2024-08-07 23:51:00,Grant,Castaway,198015
2024-08-07 23:54:00,Julian Calor,No Fear Anymore,202285
2024-08-08 00:03:00,Hollywood Principle,Run Away,200768
2024-08-08 13:11:00,Fairlane,Hypnotize,153866
2024-08-08 22:25:00,Sposato,Monki,118506
2024-08-10 23:58:00,Dion Timmer,Kibo,50828
2024-08-14 19:54:00,Bazzi,Paradise,169038
2024-08-14 19:57:00,CHINCHILLA,Little Girl Gone,177425
2024-08-14 20:03:00,Niklas Dee,Not Fair,163034
2024-08-15 17:35:00,rhianne,Somewhere Only We Know,52758
2024-08-16 22:34:00,Cartoon,Omen,177781
2024-08-16 22:36:00,SABAI,Scared,170000
2024-08-16 22:51:00,Haywyre,Never Count On Me,197333
2024-08-16 23:01:00,Half an Orange,Blink 182,184000
2024-08-16 23:13:00,DROELOE,Sunburn,226981
2024-08-16 23:16:00,Grant,High Enough,177272
2024-08-16 23:20:00,LVTHER,Friends Again,196363
2024-08-16 23:36:00,Fairlane,Uncover You,233924
2024-08-16 23:52:00,Grant,Won't Give Up,179586
2024-08-16 23:55:00,Feint,Do Better,186206
2024-08-17 00:06:00,Grant,Dead Man Walking,166486
2024-08-17 00:09:00,Said The Sky,Show & Tell,185600
2024-08-17 00:25:00,Jay Cosmic,One Way Dream,164040
2024-08-17 00:28:00,Half an Orange,Buzz Lightyear - WRLD Remix,198060
2024-08-17 00:32:00,Bad Computer,Chasing Clouds,217500
2024-08-17 00:48:00,Haywyre,Tell Me - Ellis Remix,174302
2024-08-17 00:58:00,DESERT STAR,Edge of the World,148235
2024-08-17 01:20:00,Rootkit,Promise Me (ft. Noé),184687
2024-08-17 01:23:00,soupandreas,Hours,182307
2024-08-17 01:27:00,WRLD,Little Too Close,244889
2024-08-17 01:44:00,Cartoon,C U Again,202971
2024-08-17 01:47:00,Blanke,Heavy Heart,205333
2024-08-17 01:51:00,Trivecta,Riptide,199500
2024-08-17 01:57:00,FWLR,Suspicious,207475
2024-08-17 02:11:00,inverness,I Remember,176000
2024-08-17 02:14:00,Half an Orange,Mark Twain,169043
2024-08-17 02:31:00,Rich Edwards,Where I'll Be Waiting,193433
2024-08-17 02:41:00,Summer Was Fun,Love Back On,211267
2024-08-17 02:58:00,Rootkit,Against The Sun,212288
2024-08-17 03:07:00,SABAI,Me + You - Rogue Remix,188711
2024-08-17 03:15:00,Trivecta,Best For You (feat. Selah Ford),211914
2024-08-17 03:18:00,Summer Was Fun,My Dear,190500
2024-08-17 03:33:00,Savoy,How U Like Me Now,214400
2024-08-17 03:36:00,Summer Was Fun,Watching,184777
2024-08-17 03:48:00,Anevo,Feel Something,232953
2024-08-17 03:54:00,Notaker,Each Other,199697
2024-08-17 04:18:00,WRLD,Wishful Thinking - 2018,205161
2024-08-17 04:25:00,Savoy,Let You Go,208750
2024-08-17 04:32:00,SABAI,Mirror,249532
2024-08-17 04:43:00,Jay Cosmic,Ocean Eyes,178611
2024-08-17 04:56:00,WRLD,Awake,192473
2024-08-17 05:06:00,Trivecta,Break Me,222631
2024-08-25 00:59:00,Lil Dicky,Earth,124352
2024-08-25 03:24:00,Grant,Are We Still Young,216017
2024-08-25 03:28:00,Half an Orange,Left Behind,214090
2024-08-25 04:16:00,Grant,Without You,210215
2024-08-25 04:39:00,Grant,The Edge,193683
2024-08-25 05:02:00,Grant,Distraction,171037
2024-08-26 17:45:00,Trivecta,Ghost in the Machine,195705
2024-08-26 18:11:00,Conro,Fighters,94969
2024-08-27 16:20:00,Fairlane,Not My Night,202421
2024-08-27 16:33:00,Duumu,Keep You,217846
2024-08-28 16:29:00,Rogue,Oceans,80244
2024-08-28 16:47:00,Rogue,Fusion,215081
2024-08-28 16:58:00,Grant,Better Off Alone,249428
2024-08-28 17:27:00,Grant,Constellations,248006
2024-08-28 17:37:00,Grant,Starship,213000
2024-08-28 17:48:00,Half an Orange,Mark Twain - Glacier Remix,202571
2024-08-29 16:15:00,Haywyre,White Lie,198243
2024-08-29 16:35:00,Haywyre,Do You Don't You,215065
2024-08-29 21:46:00,Dillon Francis,Say Less,204699
2024-08-30 14:45:00,Fairlane,Someone Just Like You,173326
2024-08-30 14:48:00,Pixel Terror,Millennia,166800
2024-08-30 15:09:00,Rogue,Guiding Light,14726
2024-08-30 15:24:00,Fairlane,Replay,230400
2024-08-30 15:31:00,Rogue,Starlight,240816
2024-08-30 15:52:00,Le Rat,Cédric Doumbé,33856
2024-08-30 21:31:00,Omah Lay,Moving,78274
2024-08-31 12:59:00,Dean Lewis,Waves,240013
2024-09-01 16:49:00,Haywyre,Insight,221138
2024-09-03 14:25:00,Haywyre,Change Your Mind,2902
2024-09-03 14:41:00,Haywyre,Chromatically,162869
2024-09-03 14:45:00,Rogue,Empires,249364
2024-09-07 02:39:00,Cartoon,Howling - Andromedik Remix,220489
2024-09-07 03:13:00,Hollywood Principle,Firework - Melad Remix,163357
2024-09-07 03:16:00,Tokyo Machine,Last Summer,172551
2024-09-07 11:52:00,Édith Piaf,La foule,0
2024-09-08 11:46:00,FWLR,Cave Me In,194600
2024-09-11 06:49:00,DJ Meek,De Menino Virou Little Hair,24512
2024-09-11 17:22:00,FWLR,Hot,36571
2024-09-12 15:16:00,Vanilla Ice,Ice Ice Baby,254466
2024-09-12 21:57:00,Rootkit,Promise Me - Melano Remix,181562
2024-09-12 22:01:00,Haywyre,Tell Me,78767
2024-09-15 22:06:00,Ogryzek,AURA,3776
2024-09-15 23:19:00,Seven Lions,Island (feat. Nevve),278400
2024-09-16 02:04:00,SABAI,Memories,169379
2024-09-16 02:33:00,DROELOE,Step By Step,230709
2024-09-16 02:36:00,Grant,Contagious,216699
2024-09-16 02:40:00,Rogue,Move Me,230008
2024-09-16 02:52:00,Grant,Where Will We Go - Acoustic,189163
2024-09-16 02:57:00,OVSKY,Other Side,150967
2024-09-16 02:59:00,Syence,hate me like u love me,132682
2024-09-16 03:02:00,smle,Can't Sleep Alone,165535
2024-09-16 03:13:00,Tokyo Machine,Silver Lining,147428
2024-09-16 03:15:00,OVSKY,Time,139026
2024-09-16 03:18:00,smle,Weightless,178666
2024-09-16 10:43:00,WRLD,By Design,286785
2024-09-16 10:51:00,LVTHER,This Love,181276
2024-09-17 16:34:00,Trivecta,Tornado,189788
2024-09-19 14:50:00,William Black,All Falls Down,89141
2024-09-22 08:34:00,Ogryzek,GLORY,11605
2024-09-22 12:24:00,William Black,Stay - Afinity Remix,151649
2024-09-22 12:26:00,Tokyo Machine,ROCK IT,10240
2024-09-22 12:26:00,Rogue,Fury,11726
2024-09-22 15:16:00,Slushii,LUV U NEED U,73235
2024-09-22 19:33:00,smle,Halo,2693
2024-09-24 17:45:00,Seven Lions,Foolish Of Me (feat. Jonathan Mendelsohn),186666
2024-09-25 18:50:00,WRLD,Chase It,224863
2024-09-27 09:15:00,WRLD,Fighter,182590
2024-09-29 11:24:00,Seven Lions,Cold Skin - MitiS Remix,119420
