endTime,artistName,count
2023-11-30 00:00:00+00:00,Naima,2
2023-12-31 00:00:00+00:00,Naima,3
2023-12-31 00:00:00+00:00,David Guetta,1
2023-12-31 00:00:00+00:00,SZA,1
2024-01-31 00:00:00+00:00,JVKE,2
2024-01-31 00:00:00+00:00,Hotel Ugly,1
2024-02-29 00:00:00+00:00,JVKE,28
2024-02-29 00:00:00+00:00,noturgf,8
2024-02-29 00:00:00+00:00,JOYCA,7
2024-02-29 00:00:00+00:00,David Guetta,5
2024-02-29 00:00:00+00:00,Squeezie,5
2024-03-31 00:00:00+00:00,JVKE,1
2024-03-31 00:00:00+00:00,Martin Garrix,1
2024-04-30 00:00:00+00:00,Le Rat,5
2024-04-30 00:00:00+00:00,The Chainsmokers,3
2024-04-30 00:00:00+00:00,Ed Sheeran,1
2024-04-30 00:00:00+00:00,JVKE,1
2024-04-30 00:00:00+00:00,Jhung,1
2024-05-31 00:00:00+00:00,Stromae,15
2024-05-31 00:00:00+00:00,Rema,12
2024-05-31 00:00:00+00:00,Crazy Frog,10
2024-05-31 00:00:00+00:00,David Guetta,10
2024-05-31 00:00:00+00:00,JVKE,10
2024-06-30 00:00:00+00:00,Fireboy DML,34
2024-06-30 00:00:00+00:00,CKay,33
2024-06-30 00:00:00+00:00,Aya Nakamura,31
2024-06-30 00:00:00+00:00,JVKE,28
2024-06-30 00:00:00+00:00,Jungeli,26
2024-07-31 00:00:00+00:00,JVKE,115
2024-07-31 00:00:00+00:00,Aya Nakamura,75
2024-07-31 00:00:00+00:00,Benson Boone,62
2024-07-31 00:00:00+00:00,Forrest Frank,55
2024-07-31 00:00:00+00:00,Omah Lay,45
2024-08-31 00:00:00+00:00,Grant,80
2024-08-31 00:00:00+00:00,Hollywood Principle,48
2024-08-31 00:00:00+00:00,Throttle,40
2024-08-31 00:00:00+00:00,Rogue,35
2024-08-31 00:00:00+00:00,Fireboy DML,31
2024-09-30 00:00:00+00:00,Grant,220
2024-09-30 00:00:00+00:00,Haywyre,136
2024-09-30 00:00:00+00:00,Rogue,94
2024-09-30 00:00:00+00:00,Trivecta,71
2024-09-30 00:00:00+00:00,WRLD,59
2024-10-31 00:00:00+00:00,ellis,221
2024-10-31 00:00:00+00:00,Haywyre,163
2024-10-31 00:00:00+00:00,Seven Lions,107
2024-10-31 00:00:00+00:00,WRLD,98
2024-10-31 00:00:00+00:00,Grant,96
2024-11-30 00:00:00+00:00,Fireboy DML,166
2024-11-30 00:00:00+00:00,Half an Orange,92
2024-11-30 00:00:00+00:00,ellis,79
2024-11-30 00:00:00+00:00,Wande Coal,73
2024-11-30 00:00:00+00:00,Haywyre,47
2024-12-31 00:00:00+00:00,Ruger,123
2024-12-31 00:00:00+00:00,WRLD,119
2024-12-31 00:00:00+00:00,Stromae,100
2024-12-31 00:00:00+00:00,ellis,93
2024-12-31 00:00:00+00:00,Half an Orange,61
2025-01-31 00:00:00+00:00,Haywyre,80
2025-01-31 00:00:00+00:00,ellis,56
2025-01-31 00:00:00+00:00,Rogue,54
2025-01-31 00:00:00+00:00,Grant,46
2025-01-31 00:00:00+00:00,Conro,43
2025-02-28 00:00:00+00:00,Johann Sebastian Bach,78
2025-02-28 00:00:00+00:00,Rogue,58
2025-02-28 00:00:00+00:00,Haywyre,47
2025-02-28 00:00:00+00:00,WRLD,36
2025-02-28 00:00:00+00:00,ellis,21
2025-03-31 00:00:00+00:00,JJD,91
2025-03-31 00:00:00+00:00,Rogue,72
2025-03-31 00:00:00+00:00,Time To Talk,45
2025-03-31 00:00:00+00:00,Conro,40
2025-03-31 00:00:00+00:00,WRLD,37
2025-04-30 00:00:00+00:00,Fairlane,80
2025-04-30 00:00:00+00:00,Rogue,58
2025-04-30 00:00:00+00:00,Maazel,51
2025-04-30 00:00:00+00:00,Tom Wilson,48
2025-04-30 00:00:00+00:00,Cinema Kid,44
2025-05-31 00:00:00+00:00,Duumu,90
2025-05-31 00:00:00+00:00,Fairlane,77
2025-05-31 00:00:00+00:00,Arlow,46
2025-05-31 00:00:00+00:00,Maazel,40
2025-05-31 00:00:00+00:00,Dmitri Shostakovich,32
2025-06-30 00:00:00+00:00,Dmitri Shostakovich,149
2025-06-30 00:00:00+00:00,Lost Sky,61
2025-06-30 00:00:00+00:00,Conro,36
2025-06-30 00:00:00+00:00,Disero,34
2025-06-30 00:00:00+00:00,ellis,28
2025-07-31 00:00:00+00:00,jung jaeil,76
2025-07-31 00:00:00+00:00,Lost Sky,64
2025-07-31 00:00:00+00:00,Conro,48
2025-07-31 00:00:00+00:00,STIM,39
2025-07-31 00:00:00+00:00,Koven,34
2025-08-31 00:00:00+00:00,BLAEKER,53
2025-08-31 00:00:00+00:00,Mindme,43
2025-08-31 00:00:00+00:00,Zanders,33
2025-08-31 00:00:00+00:00,Sayfalse,29
2025-08-31 00:00:00+00:00,Pixel Terror,25
2025-09-30 00:00:00+00:00,Daxten,117
2025-09-30 00:00:00+00:00,Deanz,93
2025-09-30 00:00:00+00:00,Tape Machines,64
2025-09-30 00:00:00+00:00,Janusz Olejniczak,50
2025-09-30 00:00:00+00:00,Mindme,50
2025-10-31 00:00:00+00:00,Hallmore,196
2025-10-31 00:00:00+00:00,Swif7,77
2025-10-31 00:00:00+00:00,Deanz,68
2025-10-31 00:00:00+00:00,Basixx,59
2025-10-31 00:00:00+00:00,Lensko,55
2025-11-30 00:00:00+00:00,CG5,70
2025-11-30 00:00:00+00:00,Hallmore,68
2025-11-30 00:00:00+00:00,Spectrum,53
2025-11-30 00:00:00+00:00,Velee,51
2025-11-30 00:00:00+00:00,Basixx,38
2025-12-31 00:00:00+00:00,Zack Merci,57
2025-12-31 00:00:00+00:00,Flux Vortex,35
2025-12-31 00:00:00+00:00,Yesable,32
2025-12-31 00:00:00+00:00,LED Monster,31
2025-12-31 00:00:00+00:00,Basixx,27
